format,algo,min_bpb_neon,n_rows_git,distinct_seeds_git,distinct_sha_git,max_step_git,synthetic_flag_R7,reason
f32,adamw,6.0005,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
f32,muon,6.9223,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
f32,sgdm,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
f32,lion,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
f32,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f32,lamb,6.7362,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f32,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f32,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f64,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f64,muon,6.9223,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f64,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f64,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f64,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f64,lamb,6.7362,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f64,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
f64,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp16,adamw,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
fp16,muon,6.9222,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
fp16,sgdm,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
fp16,lion,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
fp16,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp16,lamb,6.7343,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp16,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp16,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
bf16,adamw,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
bf16,muon,6.9261,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
bf16,sgdm,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
bf16,lion,7.0004,1,1,1,3000,1,n_rows=1<3;distinct_seeds=1<2
bf16,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
bf16,lamb,6.9035,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
bf16,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
bf16,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
tf32,adamw,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
tf32,muon,6.9222,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
tf32,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
tf32,lion,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
tf32,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
tf32,lamb,6.7343,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
tf32,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
tf32,rmsprop,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e4m3,adamw,6.8495,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e4m3,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e4m3,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e4m3,lion,6.9192,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e4m3,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e4m3,lamb,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e4m3,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e4m3,rmsprop,6.8736,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,adamw,6.9637,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,sgdm,6.9985,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,lion,6.9725,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp8_e5m2,rmsprop,6.6837,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,adamw,6.8495,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,sgdm,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,lion,6.9192,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,lamb,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,schedulefree,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e2m3,rmsprop,6.8736,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,adamw,6.9637,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,muon,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,sgdm,6.9985,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,lion,6.9725,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,adafactor,7.0004,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
fp6_e3m2,lamb,7.0003,0,0,0,0,1,n_rows=0<3;distinct_seeds=0<2;max_step=0<3000
