format,algo,priority_rank,priority_reason
gf16,adafactor,1,golden_format
gf16,adamw,2,golden_format
gf16,lamb,3,golden_format
gf16,lion,4,golden_format
gf16,muon,5,golden_format
gf16,rmsprop,6,golden_format
gf16,schedulefree,7,golden_format
gf16,sgdm,8,golden_format
bf16,adamw,9,priority_algo
bf16,muon,10,priority_algo
binary128,adamw,11,priority_algo
binary128,muon,12,priority_algo
binary256,adamw,13,priority_algo
binary256,muon,14,priority_algo
decimal128,adamw,15,priority_algo
decimal128,muon,16,priority_algo
decimal32,adamw,17,priority_algo
decimal32,muon,18,priority_algo
decimal64,adamw,19,priority_algo
decimal64,muon,20,priority_algo
f32,adamw,21,priority_algo
f32,muon,22,priority_algo
f64,adamw,23,priority_algo
f64,muon,24,priority_algo
fp16,adamw,25,priority_algo
fp16,muon,26,priority_algo
fp4_e2m1,adamw,27,priority_algo
fp4_e2m1,muon,28,priority_algo
fp6_e2m3,adamw,29,priority_algo
fp6_e2m3,muon,30,priority_algo
fp6_e3m2,adamw,31,priority_algo
fp6_e3m2,muon,32,priority_algo
fp80,adamw,33,priority_algo
fp80,muon,34,priority_algo
fp8_e4m3,adamw,35,priority_algo
fp8_e4m3,muon,36,priority_algo
fp8_e5m2,adamw,37,priority_algo
fp8_e5m2,muon,38,priority_algo
gf12,adamw,39,priority_algo
gf12,muon,40,priority_algo
gf20,adamw,41,priority_algo
gf20,muon,42,priority_algo
gf24,adamw,43,priority_algo
gf24,muon,44,priority_algo
gf32,adamw,45,priority_algo
gf32,muon,46,priority_algo
gf4,adamw,47,priority_algo
gf4,muon,48,priority_algo
gf64,adamw,49,priority_algo
gf64,muon,50,priority_algo
