format,algo,priority_rank,priority_reason
tf32,adamw,51,tier2_coverage_17missing_formats_adamw_muon
tf32,muon,52,tier2_coverage_17missing_formats_adamw_muon
gf8,adamw,53,tier2_coverage_17missing_formats_adamw_muon
gf8,muon,54,tier2_coverage_17missing_formats_adamw_muon
int4,adamw,55,tier2_coverage_17missing_formats_adamw_muon
int4,muon,56,tier2_coverage_17missing_formats_adamw_muon
int8,adamw,57,tier2_coverage_17missing_formats_adamw_muon
int8,muon,58,tier2_coverage_17missing_formats_adamw_muon
int16,adamw,59,tier2_coverage_17missing_formats_adamw_muon
int16,muon,60,tier2_coverage_17missing_formats_adamw_muon
int32,adamw,61,tier2_coverage_17missing_formats_adamw_muon
int32,muon,62,tier2_coverage_17missing_formats_adamw_muon
uint8,adamw,63,tier2_coverage_17missing_formats_adamw_muon
uint8,muon,64,tier2_coverage_17missing_formats_adamw_muon
nf4,adamw,65,tier2_coverage_17missing_formats_adamw_muon
nf4,muon,66,tier2_coverage_17missing_formats_adamw_muon
nf8,adamw,67,tier2_coverage_17missing_formats_adamw_muon
nf8,muon,68,tier2_coverage_17missing_formats_adamw_muon
posit8,adamw,69,tier2_coverage_17missing_formats_adamw_muon
posit8,muon,70,tier2_coverage_17missing_formats_adamw_muon
posit16,adamw,71,tier2_coverage_17missing_formats_adamw_muon
posit16,muon,72,tier2_coverage_17missing_formats_adamw_muon
posit32,adamw,73,tier2_coverage_17missing_formats_adamw_muon
posit32,muon,74,tier2_coverage_17missing_formats_adamw_muon
posit64,adamw,75,tier2_coverage_17missing_formats_adamw_muon
posit64,muon,76,tier2_coverage_17missing_formats_adamw_muon
lns8,adamw,77,tier2_coverage_17missing_formats_adamw_muon
lns8,muon,78,tier2_coverage_17missing_formats_adamw_muon
mxfp4,adamw,79,tier2_coverage_17missing_formats_adamw_muon
mxfp4,muon,80,tier2_coverage_17missing_formats_adamw_muon
mxfp6,adamw,81,tier2_coverage_17missing_formats_adamw_muon
mxfp6,muon,82,tier2_coverage_17missing_formats_adamw_muon
mxfp8,adamw,83,tier2_coverage_17missing_formats_adamw_muon
mxfp8,muon,84,tier2_coverage_17missing_formats_adamw_muon
gf16,soap,85,tier2_golden_format_soap_after_kappa
bf16,sgdm,86,tier2_16bit_class_thesis_anchor
bf16,lion,87,tier2_16bit_class_thesis_anchor
bf16,adafactor,88,tier2_16bit_class_thesis_anchor
bf16,lamb,89,tier2_16bit_class_thesis_anchor
bf16,schedulefree,90,tier2_16bit_class_thesis_anchor
bf16,rmsprop,91,tier2_16bit_class_thesis_anchor
